,summary,access,interaction,house_rules,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
1519,"Studio offers complete access to the upscale retail shopping stores such as Chanel, Brooks Brothers, Armani, Burberry, and other top names in fashion.","Free Wireless Internet, All utilities, Linens, Towels, Flatware, Silverware and Cooking Utensils, Coin-Op Laundry. The studio's kitchenette comes equipped with a mini fridge, microwave, two plate stove top, toaster and coffee maker. Parking: Public transportation is the suggested form of transportation as it is only less than a 5 minute walk to the Copley station. There is primarily street parking reserved for residents. Nearby garages:      Prudential Center Garage      800 Boylston Street      Boston, MA (PHONE NUMBER HIDDEN)      Copley Place      100 Huntington Avenue      Boston, MA      (PHONE NUMBER HIDDEN)",,No Smoking  No Pets,2014-10-09,within a few hours,100%,91%,f,52,Back Bay,Back Bay,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer}",,160.0,,$225.00,1,$0.00,7,1125,7,97.0,f,f,strict,0.72
1520,"Charming, super clean, elegant  2 BR on the prettiest St in Back Bay Boston.  One block from the Charles and two from Newbury St.  Large Master, small second bedroom.  Everything you would need to enjoy Boston.",It's your apartment to enjoy as you seem fit.  Every amenity is provided including coffee for a quick breakfast.,If you need anything we are here to help.,Enjoy and be respectful,2015-04-05,within a few hours,100%,86%,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,350.0,,$100.00,1,$0.00,4,1125,27,89.0,f,f,flexible,1.63
1521,"This luxury apt community located at the crossroads of Boston’s historic Back Bay & South End neighborhoods features landscaped gardens, private courtyard w/elegant cast iron fountains, roof top terrace w/Boston skyline views & children's playground ","You have access to the entire apartment, and all the fantastic amenities this building offers to its tenants. ",We have local staff that you might meet in person that meticulously prepares the apartments for your arrival. Your check-in is typically handled by the building's front desk staff. We provide all other customer service and are available via phone and email promptly.  24 hour support is available for any emergencies that may occur. ,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties and smoking are not allowed under any circumstances and incur significant fees. Parties and smoking are not allowed under any circumstances and incur significant fees. Pets may be considered with pre-approval and an additional pet fee.",2013-10-14,within a few hours,96%,68%,f,313,Back Bay,Back Bay,,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,298.0,,$100.00,1,$0.00,3,1125,6,90.0,f,f,moderate,0.21
1522,"Two bedroom, one bedroom w/open kitchen, the other bedroom set up as living room. Located on Newbury street, above my favorite coffee shop, two blocks to the T and hynes convention center and public transportation. The best restaurants of Boston, only steps away in every direction! Number one location in Boston! Come stay!",lock box to enter,available through App to answer questions and help,"Respectful, quiet but enjoyable stay! Clean, or messy and then clean up before they leave! ;-)",2014-09-10,within an hour,99%,81%,f,30,,Back Bay,,f,Apartment,Entire home/apt,8,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,200.0,$99.00,$60.00,4,$50.00,1,1125,19,91.0,f,f,strict,4.91
1523,"My place is a short walk to Fenway Park, The Shops at the Prudential Center, Boston Public Library, Copley Square, Boston University, Berklee College. You’ll love my place because of The light, , the comfy beds, the high ceilings, the coziness. My place is good for couples, business travelers, and families (with kids).",,,,2016-05-12,within a day,78%,67%,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,286.0,,$100.00,4,$50.00,1,1125,1,100.0,f,f,flexible,1.0
1526,Gorgeous Brand New Spacious Studio,,,No Smoking or Pets,2012-11-19,within a day,70%,93%,f,7,Back Bay,Back Bay,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",,130.0,"$1,000.00",$150.00,1,$0.00,60,365,4,95.0,f,f,strict,0.23
1527,"Our cozy and comfortable one bedroom apartment with exposed brick has a true city feeling! Comfortably sleeps 2 but can accommodate up to 4. Close to Copley Square, Newbury Street, and some of the best restaurants in the city! Feel like a local here!",Private apartment with full use of kitchen.,As much or as little as they would like,,2014-07-27,,,,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,250.0,$200.00,$10.00,2,$0.00,1,1125,3,100.0,f,f,strict,0.16
1528,"Newly renovated 1 Bedroom | 1 Bath located on Marlborough St in Boston's historic Back Bay.  This spacious 550 sqft condo is located on the second floor and offers central A/C, brand new kitchen and bath, 10'+ high ceilings, and new hardwood floors!","- I have set-up a lock-box for key access directly outside of the building. - Guests will also have direct access to the coin-operated laundry machines in the basement. - Private parking is available directly behind the building at an additional cost of $35 per day.  We own one spot behind the building and I will park my car on the street or in a nearby garage if you’re interested in renting our spot.  The cost is marginally cheaper than nearby garages and allows you to come and go as you please without paying the garage fees each time you exit.  This parking spot is not always available and in such cases, there are several garages nearby. -  The closest MBTA stop is at the Hynes Convention Center Subway Stop (Green Line) and is 0.2 miles away or a 4 min walk. -  Uber, Hubway Bikes, and the MBTA are the easiest forms of transportation.","- My wife and I live in Back Bay (on the ground floor of this building) and we are available if you have any issues or require any kind of assistance.  Guests will have as much or as little interaction with me as they wish – with key access set-up through lock boxes, you do not need to coordinate meeting me to get access to the condo.","Please Note: This unit was just renovated in April 2016 and it comfortably accommodates one to three guests (two guests in the bedroom and 1 guest on the available queen air mattress).  Please request an air mattress (if needed) when making a reservation. No smoking, no pets, no parties, and must be 25 years old to book.   Please be mindful to our neighbors in the building; quiet hours after 10pm. Please be considerate of our next guests who will be staying after you, if something is broken or needs fixing, please let me know, as I have an arsenal of tools and enjoy fixing things. For check-out, please ensure: -  All plates and cups are left in the sink or dishwasher -  All trash is left in the kitchen trash can or bagged and left next to the trash can (additional bags are under the sink) -  All windows are closed and locked -  If used, the air mattresses are deflated and put away (please leave used linens for the air mattresses on the floor) -  If furniture was moved during your stay,",2013-10-13,within an hour,100%,99%,t,15,Back Bay,Back Bay,,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,200.0,$450.00,$80.00,1,$0.00,3,45,19,99.0,f,t,strict,3.75
1529,"Located in the heart of Boston's historic Back Bay, this studio apartment is in a turn of the century brownstone building on a pretty little street between Commonwealth Avenue and Boston's elegant Newbury Street.",,,,2015-12-18,within a day,77%,33%,f,16,Back Bay,Back Bay,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,129.0,,,1,$0.00,2,1125,10,92.0,f,f,strict,1.31
1531,Beautiful Back Bay apt 5 minute walk from Subway stations and 7 minute walk from Copley Sq,,,,2013-08-03,,,,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",,500.0,$250.00,$150.00,1,$0.00,2,1125,14,100.0,f,f,strict,0.58
1532,Come stay on the BEST street in Boston. The apartment is centrally located in Back Bay and is walking distance to wonderful restaurants and bars. 3 short blocks to the famous Newbury Street and walking distance to the Green Line and Buses! :),"Guests will have full access to the unit including huge 65' Panasonic Viera TV with HBO, Showtime, Starz, Cinimax, and Netflix.  Coin Op laundry in basement.  Ceiling fans in both living and bedrooms.  Air conditioner in bedroom. Kitchen has microwave, oven, and refrigerator.  Roku in the living room with Netflix and Amazon Prime.  Internet access. Air Mattress available for 3rd guest (upon request).",I will be available by phone/text/email during your stay. Please reach out if you have any questions about the apartment or your stay in general :) I am happy to help!,"Please treat this home as your own and respect the neighbors. No parties, smoking, or additional guests (other than the agreed upon).",2014-10-23,within an hour,100%,100%,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",,248.0,,$50.00,2,$25.00,2,1125,50,93.0,f,f,strict,2.83
1533,"This apt is located on the brownstone block. Stay in the guest room in our fully furnished apt on one of the most famous streets in Boston. Our apartment is near everything in the Back bay. You could walk to T station  and Newbury street for shopping and dining,  8 mins walking distance to Copley Square/ Hynes convention center station.",As a guest you will be welcome to use the kitchen and will have full access to the rest of the unit with the exception of the master bedroom. Feel free to use the kitchen and watch a movie in the living room.,"We are both happy to help with recommendations for local attractions, food, directions, or anything else you need. We are very responsive to text, email, or phone call if we are not home. We love Boston and would love to share our favorite spots with you.",,2014-12-28,within an hour,100%,88%,f,3,Back Bay,Back Bay,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,97.0,,$25.00,1,$25.00,1,1125,8,95.0,f,f,flexible,4.71
1534,"Garden/Ground level Studio on the most expensive, prestigious and desirable street in all of Boston!  Tree lined brick streets with gorgeous gardens! Walk everywhere!  Near the Boston Common, Charles MGH, Newbury Street shopping and restaurants",,"We usually don't see our guests, but our cleaner may see you!","No pets, no smoking, no parties.  No guests not on the reservation.  You are liable for any damage. Please do NOT move the furniture we've had damage in the past because of this.  If you need to move anything for a reason please ask. We will give you access to Netflix.  Please respect the account. Please report anything broken at the beginning of your reservation to avoid the loss of your security deposit.  Clean all your dishes and clean up after yourself.  Please keep the noise down.",2012-01-22,within an hour,100%,86%,f,1,Back Bay,Back Bay,,t,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials}",,210.0,$100.00,,2,$50.00,1,1125,93,95.0,f,f,strict,7.58
1535,"There is a fully equipped kitchen. Dishes, cookware, utensils, and a coffee maker are there for you. Linens and towels are supplied.The living room has a sofa (not convertible) that sleeps one person comfortably.The bedroom has a queen size bed.",We will provide guests with access codes to the building and to the apartment several days prior to arrival.,,,2015-12-18,within a day,77%,33%,f,16,Back Bay,Back Bay,,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,249.0,,,1,$0.00,2,1125,4,85.0,f,f,strict,0.83
1537,"Garden/Ground level large private room on one of the most expensive, prestigious and desirable streets in all of Boston! Tree lined brick streets with gorgeous gardens! Walk everywhere! Near the Boston Common, Charles MGH, Newbury Street shopping and restaurants",Bedroom Kitchen Bathroom Living room,,- - Please be courteous and quiet when coming in and out - Do not talk to neighbors - No smoking inside - No parties allowed - Clean up after yourself - Respect the property - Shoes off please  - No loud music or TV after 1:00 AM,2016-08-23,within an hour,100%,100%,f,2,Back Bay,Back Bay,,t,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,130.0,$199.00,$42.00,1,$0.00,3,1125,4,95.0,f,t,strict,4.0
1538,"This property is located in the heart of Kendall Square, an award winning neighborhood marked as a global center for innovation and cutting edge technology next to MIT. ",,,,2014-07-16,within a few hours,97%,81%,f,21,,Back Bay,,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",,270.0,,$50.00,1,$5.00,2,1125,7,89.0,f,f,strict,0.29
1539,"This beautifully renovated condo is quintessential Boston in a fabulous location with wide open floor plan, high ceilings, gorgeous moldings, white Quartz kitchen, top of the line stainless appliances, marble bath and high end electronics in each room Including a 60"" high def TV - Welcome Home!","There are 3 units in our brownstone - we live in the bottom triplex, this unit is above us and our other Airbnb property is above this unit - the penthouse. Guests have full access to their unit and both units share the entrance and foyer. We have a separate  entrance to our living space.",We own the building and also live in the bottom triplex. We are accessible as often or as little as guest require.,No smoking or parties and be respectful of upstairs guests and neighbors.,2014-09-21,within an hour,100%,88%,t,3,,Back Bay,,f,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,450.0,$500.00,$80.00,1,$0.00,2,90,6,100.0,f,f,moderate,3.67
1540,See below,,,No smoking or parties allowed,2012-11-19,within a day,70%,93%,f,7,Back Bay,Back Bay,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials}",,130.0,"$1,250.00",$150.00,1,$0.00,2,365,1,100.0,f,f,strict,0.27
1541,Located within a short distance from Boston Logan Airport.  This is great place to stay between flights or even exploring Boston.  Within walking distance to the Maverick T Station which is one away from Downtown Boston.,,,,2014-07-16,within a few hours,97%,81%,f,21,East Boston,East Boston,,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in"",Iron,""Laptop Friendly Workspace""}",,207.0,,$50.00,1,$5.00,2,1125,4,95.0,f,f,moderate,0.7
1542,"Completely renovated vintage yacht. Heated and insulated and totally comfortable for a winter stay. Imagine being tucked inside the boat with a hot chocolate, feeling the gentle movement of the water while you watch the snow fall outside.",,,"Are we allowed to drive the boats? All of our boats are in-slip rentals, and can't be taken out. Many of our rental locations have charter services available in the same marina, and we can get you information regarding these services if you desire an excursion. How safe is the location? The boats are in very safe locations. There are gates for entrance, and a fully staffed office looking after the marina. Each boat can be secured while you are on board, or if you are away for the day. The parking is all in well lit and maintained lots. Do I need to bring my car, and where do I park? We recognize the hassle of traveling with a car within cities. We try to select marinas that are convenient for car-free exploring. Most of our locations are within walking distance to major tourist sites, and also have an abundance of public transportation options. If you do need to drive to the marina, we can provide you with information for finding a parking spot convenient to the marina and boat.  Do th",2013-03-02,within an hour,92%,100%,f,8,East Boston,East Boston,,t,Boat,Entire home/apt,6,1.5,2.0,5.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,200.0,,$139.00,2,$25.00,2,1125,32,79.0,f,t,strict,0.82
1543,Just a short airport shuttle ride and a one and a half block walk to my door. Centered between the Airport and Maverick T stations. 3 mins. to scenic Boston.,,,,2014-10-07,within an hour,100%,99%,f,3,,East Boston,,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,{},,65.0,,,1,$0.00,1,1125,153,91.0,f,f,moderate,14.34
1545,"5 Minutes walk to T station,  close to airport and beach. 1 bedroom in a 3 bedroom unit, share kitchen and bathroom with 3 other roomates.","bedroom, livingroom, kitchen, bathroom",,No smoking No pet allowed,2015-08-09,within a few hours,100%,94%,f,9,,East Boston,,f,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""Laptop Friendly Workspace""}",,48.0,,$30.00,1,$10.00,5,180,4,65.0,f,f,moderate,0.35
1546,"Nice room in 2 bedroom apartment. Very convenient location. Few minutes from airport, T eccessible.",,,,2016-07-03,within an hour,100%,100%,f,1,,East Boston,,f,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,Washer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,65.0,,,1,$0.00,1,1125,29,97.0,f,f,moderate,15.54
1548,Great location with easy access to both downtown and the airport. 5min walk to Maverick Square for Blue Line. 10min walk to Airport Rental Car Center. 15min walk to Terminal A! :),"Please feel free to lounge in the living area, relax & refresh in the washroom, and cook small meals in the kitchen. The second bedroom is mine and is private, though. Thank you!",Please feel free to call or text anytime. I am available to help as much as you need!,"Hello there! Please only enter the front door of the building if I have let you in or you have been given the key beforehand.  Please leave the apartment and its contents in the same condition you found it. Please no one in the building or apartment except the registered guests.  This is a strict one.  Thanks for understanding! Please no eating or drinking on the sofa. (Also, please hand wash any dishes used.) Please walk gently in the apartment and observe quiet hours of 8pm-10am. It is an old building and sound transfers easily.  Definitely no smoking and/or any other ""substances"" on the premises. Sorry, none of the alcohol in the apartment is for guest consumption. Thank you for respecting the property and also my furnishings. This helps me offer nice things for consequent guests! Sorry for the litany of rules, but adhering to these will make everyone happy. I like to keep a calm & clean place. Thank you! Paul",2013-11-19,within an hour,100%,98%,t,2,,East Boston,,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""Hair Dryer"",Iron}",,119.0,,$20.00,0,$0.00,1,1125,67,98.0,f,f,flexible,4.06
1549,"A quiet respite in the Eagle Hill neighborhood of East Boston. Your room features a comfy queen size bed, noiseless mini-refrigerator and lots of sunlight. Better yet, you're a quick 10 minute walk to the subway and 2 stops from downtown Boston.","Your private bedroom is on the third floor and your shared bathroom is on the first floor. You're welcome to use the microwave in the kitchen, but we prefer our guests not cook in the kitchen. We have a small backyard with a deck that you're welcome to use.",We're happy to follow your lead. We'll gladly share a cup of coffee or a glass of wine and a few stories or just let you keep to yourself if that's your preference. We're usually easily reachable for questions and recommendations.,"We like to keep things quiet and peaceful and expect that our guests will be respectful of our space and belongings. No smoking, no illegal substances.",2014-03-02,within a few hours,100%,100%,t,1,East Boston,East Boston,,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer""}",,75.0,,$15.00,1,$0.00,2,1125,124,97.0,f,f,moderate,7.52
1550,"Come stay at my apartment, walking distance from the airport, and enjoy one complimentary breakfast at my cafe right next door! :) You will either share the apartment with me, another airbnber (in other rm), or no one, depending on the date you come",,,,2014-12-26,within a few hours,100%,64%,f,1,East Boston,East Boston,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,150.0,,,1,$0.00,1,1125,31,85.0,f,f,moderate,1.97
1553,"You will love this condo! We are just a 7 minute walk from the subway, a 5 minute walk from the waterfront parks, and a short 10 minute shuttle from the airport! You can get downtown via 1 subway stop or a 7 minute drive. Very centrally located!","You'll have access to a full kitchen, a microwave, an additional refrigerator on the bottom floor, your own private exit to the street, and open living and dining rooms. ","I'll be in touch with you throughout the time ahead of your stay to make sure you have a pleasant experience, but after you've arrived I'll be out of your hair :).","Kitchen, please:  - Do not leave perishable items in the fridge or on the counter for extended stays.  General, please:  - Treat our home as you would your own. - Clean up after yourself. We ask that you leave the common areas as you found them and do your dishes when you're finished with them.  - Feel free to use linens and towels as you need them. At the end of your stay, please leave them by the washer & dryer.  - We are smoke-free and pet-free.  - This rule is a must: Enjoy your stay!",2011-11-21,within an hour,100%,100%,f,1,East Boston,East Boston,,t,Condominium,Entire home/apt,8,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",1300.0,210.0,$300.00,$125.00,5,$25.00,3,30,27,94.0,f,t,moderate,4.71
1554,"Newly renovated, Walking distance from Boston Logan Airport. apartment, you are there in 5 minutes, This apartment is perfect for someone looking for a clean, quiet, well-maintained private room with perfect temperature,with new central air system.","Room, Bathroom,Kitchen.","Some, Not much.","No loud music, No pets, No smoking, No additional guess allow; Room is  offered for one person only.",2012-12-23,within a few hours,100%,33%,f,1,,East Boston,,f,House,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,95.0,$500.00,$30.00,1,$50.00,3,1125,11,91.0,f,f,strict,0.65
1555,My place provides an inexpensive alternative to the super expensive hotels in Boston. Only a couple blocks to the subway and minutes to downtown.,,,,2012-09-17,within an hour,100%,99%,f,20,East Boston,East Boston,,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,99.0,,$99.00,1,$0.00,2,1125,74,81.0,f,t,strict,2.47
1556,"Our couch turns into a futon bed for you to sleep on for quick trips to the city! Less than $10 taxi to/from the airport or jump on the T that is just .2 miles away and take it 1 outbound stop to the airport or 1 inbound for access to the North End, NE Aquarium, Faneuil Hall, and the heart of the Freedom Trail in Boston! 1 shared bath. Due to our work schedules, we will only be able to accept 1 reservation per week and will decline all others without sending a message of explanation.",,,No other pets allowed. No smoking. We expect general respect for our house and things. No access to private bedrooms.,2010-08-17,within a day,100%,25%,t,1,East Boston,East Boston,,t,Apartment,Shared room,2,1.0,1.0,1.0,Futon,"{""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,50.0,,$7.00,1,$0.00,1,2,9,100.0,f,f,flexible,0.72
1558,"This quiet, clean, simple room is perfect for your work trip, or long weekend visit to tour the city. Live in Boston's ""Eastie"" Neighborhood--some call it the new ""Southie"", others call it ""up-and-coming"", and I call it home sweet home.","You will have full use of both spacious bedrooms, each furnished with a queen size luxury pillow-top air mattress and night stand. Both bedrooms have spacious closets as well. The flat also has a small office, which can be used as a small nursery if necessary. The bathroom is small, but clean and fully stocked. The kitchen is brand new, and ready for either milk&cereal or a gourmet chef. It has stocked cabinets, dishwasher, garbage disposal, coffee maker, granite counters, and an island with stools. The cozy living room has a nice couch and dining room table as well. The apartment has a private, safe entrance off the street as well.","I live in the apartment below, so I will be available to help with anything you need. I can give great local restaurant recommendations, help with transit directions, and be generally available to help you out.",,2014-06-02,within an hour,100%,100%,f,4,East Boston,East Boston,,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Essentials,Shampoo}",,70.0,,$20.00,1,$0.00,1,1125,4,75.0,f,f,flexible,0.37
