,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
1755,"Located above Alki Beach, the Sunset Grotto is the lower level unit of a single family home. This  one bedroom space is very private with backyard, kitchenette and wonderful view of Puget Sound.",2014-10-20,within an hour,100%,100%,f,6.0,Alki,Alki,West Seattle,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,95.0,,$65.00,1,$0.00,1,1125,17,89.0,f,t,flexible,2.67
1756,"Private getaway! Your very own spacious RV, custom cabinetry and built-ins by expert Hollywood craftsman 1 block to alki beach, close to restaurants, nightlife, and one of the very best views of the Seattle Skyline.",2015-05-28,,,,f,1.0,,Alki,West Seattle,t,Camper/RV,Private room,3,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""First Aid Kit"",""Fire Extinguisher""}",,120.0,,,1,$0.00,1,1125,2,90.0,f,f,moderate,0.31
1757,Town house  2 bedrooms 1 bathroom located on upper floor  living room and kitchen on lower floor  Walk to beach and many surrounding cafe restaurants and shops ,2013-04-05,within an hour,100%,100%,f,2.0,,Alki,West Seattle,f,Townhouse,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,79.0,$150.00,$75.00,2,$25.00,2,15,61,90.0,f,f,strict,4.92
1758,"Just a short drive or a fun water taxi ride to downtown,  the historic Alki Beach neighborhood in Seattle has a definite beachy resort feel....and on a quiet residential street, the Alki Beach Cottage radiates an older French/Coastal vibe.",2013-05-12,within an hour,90%,100%,t,1.0,Alki,Alki,West Seattle,t,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,130.0,$400.00,$100.00,2,$15.00,3,1125,54,97.0,f,f,strict,2.86
1759,"Charming house in Seattle's Alki Beach area, 3-4 blocks from the sandy beach with views of ferries and amazing sunsets. Newly remodeled.",2012-02-23,within an hour,100%,100%,t,3.0,Alki,Alki,West Seattle,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,129.0,$200.00,$85.00,1,$0.00,1,60,57,94.0,f,f,strict,3.2
1762,"Located just a 30 sec. walk from Alki Beach, Seattle. Stay a night or 5 in my one bedroom apartment, the living room is sectioned off (curtain) for you. Quiet & clean, I have a futon and couch. I'm very personable and easy to get along with!",2014-05-09,within a few hours,100%,,f,1.0,,Alki,West Seattle,f,Apartment,Private room,1,1.0,1.0,1.0,Futon,"{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",Shampoo}",,42.0,,$5.00,1,$8.00,1,1125,5,96.0,f,f,moderate,0.26
1763,"1Br/1Ba Apt in West Seattle close to Schmitz Reserve Park, transport (w/easy transfer to airport and downtown) & beach. 10-min drive to downtown. 4-min drive, 20-min walk to shopping, bars and restaurants at ""The Junction."" Good for a small family.",2013-05-28,within an hour,100%,100%,f,1.0,,Alki,West Seattle,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,95.0,$250.00,$72.00,2,$20.00,1,180,34,95.0,f,t,moderate,2.04
1764,"Charming beach cottage in Seattle's Alki Beach neighborhood, only a block from the sandy beach with amazing sunsets and many restaurants within walking distance. The unit has a master bedroom + second bedroom. Two queen beds.",2012-02-23,within an hour,100%,100%,t,3.0,,Alki,West Seattle,f,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,109.0,$200.00,$85.00,3,$50.00,1,30,21,92.0,f,f,strict,4.04
1765,"This West Seattle Genesee Hill home is a single story rambler on a large lot. House has 3 bedrooms (king/queen/bunk bed) and 2 full bathrooms. Newly renovated, open concept kitchen in a bright and quiet street.",2013-01-08,,,,f,1.0,Alki,Alki,West Seattle,t,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",,225.0,$300.00,$100.00,1,$0.00,1,1125,2,100.0,f,f,strict,0.3
1767,Light filled 2 bedroom cottage less than a block from Alki beach! Easy access to downtown Seattle by car or water taxi. Enjoy a morning run or coffee while taking in the views and smells of salt water. Well appointed house with all you need to enjoy your stay!,2015-08-30,within an hour,100%,100%,f,1.0,,Alki,West Seattle,f,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,85.0,$300.00,$125.00,1,$0.00,2,365,10,100.0,f,f,moderate,2.61
1770,Comfortable 2br apartment in wonderful West Seattle. Easy city access via bus or water taxi. Great view of the water and Olympic mountains. Friendly laid-back guy here.,2012-07-25,,,,f,1.0,Alki,Alki,West Seattle,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Wheelchair Accessible"",""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials}",,120.0,,$15.00,1,$5.00,1,5,6,93.0,f,f,moderate,0.55
1772,"Perched two blocks above Alki Beach, this stunning view home provides a memorable getaway with a quintessentially Seattle feel.  ",2009-08-23,within an hour,100%,100%,f,6.0,North Admiral,Alki,West Seattle,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,350.0,$500.00,$100.00,1,$0.00,3,1125,10,100.0,f,f,strict,0.85
1773,"Right across the street from the water, this place has 180 degree views where you can see whales, sea lions, the mountains and sunset.  Close to downtown, GREAT restaurants, shopping, parks and everything Seattle has to offer.  All new top-end unit.",2012-09-26,within a day,88%,100%,f,2.0,Alki,Alki,West Seattle,t,Townhouse,Entire home/apt,8,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",,250.0,$250.00,$75.00,8,$250.00,1,1125,31,88.0,f,f,strict,4.6
1776,"Home like a lodge, three blocks above Puget Sound with forever unobstructable views of the Olympic Mountains and islands in the Sound.  Two bedrooms, two full baths, large west-facing deck, kitchen, open living and dining with a two-story fireplace.",2011-05-05,within a few hours,100%,100%,f,2.0,Alki,Alki,West Seattle,t,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,300.0,$200.00,$150.00,2,$30.00,5,1125,10,100.0,f,f,strict,0.82
1777,Alki Beach retro bungalow/apt half block from beach,2013-04-05,within an hour,100%,100%,f,2.0,North Admiral,Alki,West Seattle,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,59.0,$100.00,$65.00,1,$25.00,2,1125,15,99.0,f,f,strict,3.0
1778,"Our lower floor is a blast from the past! It reminds me of the basement bedroom I had as a teenager back in Wisconsin. The ceiling is low and unfinished and the walls are cement. As the floors creek above, it feels like you're in a secret hideaway fort.",2015-08-24,within an hour,100%,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,69.0,,$25.00,1,$0.00,1,1125,4,95.0,f,t,moderate,1.14
1782,Privite Room and Bathroom in the Admiral district of Seattle. 5 min away from Alki Beach. The condo is surrounded by restaurants and is located on a few bus routes in to downtown (about 10-15 min).,2012-08-15,within an hour,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,70.0,,,2,$50.00,1,5,28,99.0,f,t,flexible,5.32
1783,"Our spacious, clean, modern, open concept 1 bedroom flat is in North Admiral of West Seattle. It's a friendly & beautiful community with everything such as restaurants, bars, grocery stores & parks within just blocks of our place.",2014-03-21,,,,t,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,140.0,$400.00,$80.00,2,$15.00,2,90,15,97.0,f,f,strict,0.74
1785,"    West Seattle is an unusual gem and this pretty house and garden is located in a quiet neighborhood, one block from bus, walking distance to three top grocery stores, movie theater, restaurants, parks, community centers, views and the beach.    ",2012-05-04,within a few hours,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Free Parking on Premises"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",,54.0,,,1,$5.00,2,1125,31,95.0,f,f,flexible,2.87
1787,This is a room on the first floor with twin size bunk beds. There is a half bathroom available on the second floor and a full bathroom on the 3rd floor that must be shared with the other guests staying in the two bedrooms.,2015-01-19,within an hour,88%,100%,t,4.0,North Admiral,North Admiral,West Seattle,t,Bed & Breakfast,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,66.0,,$10.00,1,$50.00,1,1125,9,100.0,f,f,flexible,1.81
1788,"Our downstairs bedroom/bathroom is spacious and private, with faux wood-paneling and a bit of sunlight, and a sitting area. We're about half a mile to Alki Beach and to the California/Admiral intersection of W. Seattle. Short-term stays best.",2010-08-05,within a few hours,100%,100%,f,2.0,North Admiral,North Admiral,West Seattle,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,Essentials}",,79.0,,,2,$10.00,2,30,36,93.0,f,f,moderate,0.63
1789,"Beautiful 1 bedroom apartment with stunning view of ocean, islands and mountains.  New, quiet and private with with full kitchen, living room and private bath.  Quiet elegant neighborhood, Close-in to downtown. ",2014-03-08,within an hour,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",,195.0,$200.00,$50.00,1,$0.00,2,30,33,99.0,f,f,strict,1.52
1790,"Elegantly modern, walking distance to shops and restaurants. Easy access to downtown. Eco-friendly finishes, with organic linens. King size Essentia mattress of natural latex from the rubber tree. Spa bathroom. Fully equipped  kitchen.",2013-11-05,within a few hours,75%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,105.0,,$25.00,1,$0.00,2,1125,12,98.0,f,f,moderate,2.35
1791,"Located in West Seattle's Admiral neighborhood, this darling studio style cottage will welcome you. Built in 2009, it features a queen-sized murphy bed, full kitchen and hang-out zone, a rain style shower with pebble floor, & on-demand hot water.",2013-03-16,within a few hours,86%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,100.0,$200.00,$50.00,3,$0.00,2,30,18,99.0,f,f,moderate,0.59
1792,Glamour camping at its finest: A self contained insulated/gas-log heated garden Yurt (w/kitchen & bathroom) is a perfect getaway for romantic adventures. Ideally located in the village-feel of the Admiral District above Alki-10 min to Seattle core.,2012-10-02,within an hour,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,Yurt,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Gym,""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,100.0,$300.00,$25.00,2,$10.00,1,14,25,100.0,f,f,moderate,4.75
1793,Enjoy a home away from home in a quiet family friendly neighborhood. Very private and seamless arrangements.,2011-04-15,within an hour,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,93.0,$250.00,$90.00,2,$15.00,3,14,122,95.0,f,t,moderate,2.41
1794,"With lots of vintage charm, this 1 bdrm private unit sits among the trees, and boasts sunset views of the Sound from the top floor of a craftsman home. Within walking distance of Alki and Admiral, this is an in-city treat!",2013-05-22,within an hour,100%,100%,t,1.0,North Admiral,North Admiral,West Seattle,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",,85.0,$200.00,$40.00,1,$0.00,2,1125,37,98.0,f,f,moderate,3.32
1795,"Embedded in an affluent neighborhood, the West Seattle Cottage is walking distance to Alki Beach, mass transit, nightlife, a movie theatre, several grocery stores and great restaurants.  We are conveniently located just minutes away from downtown Seattle by car or water taxi and about 20 minutes from the airport.",2012-02-21,within a day,100%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,Chalet,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets Allowed"",Gym,""Indoor Fireplace"",Heating,""Family/Kid Friendly""}",600.0,135.0,,$35.00,2,$15.00,4,1125,11,96.0,f,f,moderate,0.24
1796,"Private Penthouse View Suite-close To Airport, City, Alki Beach, all amenities including walking distance to shopping, historic movie theater, restaurants, coffee shops and bars.",2014-10-20,within an hour,100%,100%,f,6.0,North Admiral,North Admiral,West Seattle,t,Apartment,Entire home/apt,7,1.0,2.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,195.0,,$95.00,1,$0.00,2,1125,20,97.0,f,f,flexible,1.38
1798,"This room has a queen bed, plus a couch that pulls out into a queen size bed. Fits 4 people if you don't mind sharing a bed. The bathroom will be shared with the other bedroom on the same floor. Any additional beds wanted will have to be requested.",2015-01-19,within an hour,88%,100%,t,4.0,North Admiral,North Admiral,West Seattle,t,Bed & Breakfast,Private room,4,2.5,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,129.0,,$10.00,2,$75.00,1,1125,8,95.0,f,f,strict,1.17
1799,"This 1917 Craftsman Bungalow has been lovingly renovated by its architect-owners. With beautiful, open rooms and windows galore, the house is inviting and filled with light. Each room has aesthetic details that make it special.",2013-02-08,,,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,8,3.0,4.0,5.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,225.0,$200.00,$100.00,4,$15.00,2,90,1,100.0,f,f,moderate,0.05
1800,"2,200 sq.ft. 4 bed/2.5 bath ranch home. Spacious kitchen with 4 skylights.",2015-05-17,,,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",,350.0,$500.00,$137.00,6,$25.00,3,15,2,80.0,f,f,strict,0.31
1801,"Private apartment with private entrance and parking.  Enjoy this self contained 1 bedroom apartment overlooking an urban forest on the east slope of West Seattle.  10 minutes to downtown, transit and water taxi within minutes.",2010-07-23,within an hour,100%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher""}",,120.0,,$60.00,1,$0.00,2,1125,7,100.0,f,f,flexible,1.49
1802,Located in the heart of West Seattle we are within walking distance to the  Alaska Junction and Alki Beach.  This 2 bedroom and 1.5 bath home comfortably sleeps 4-5 people & comes with a fully fenced yard with an amazing outdoor deck and atmosphere.,2014-06-14,within an hour,100%,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,5,1.5,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,200.0,$150.00,$50.00,1,$0.00,5,21,8,95.0,f,f,strict,0.45
1803,Large bedroom with adjacent shared bathroom. This beautiful 1700 SF luxury penthouse apartment was featured in 2006 in Northwest Home and Garden Magazine. Located in downtown West Seattle with easy transit connections to Downtown Seattle.,2012-07-15,within an hour,100%,100%,f,2.0,North Admiral,North Admiral,West Seattle,t,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,69.0,,$10.00,2,$20.00,3,365,94,95.0,f,f,moderate,2.45
1805,"Walk to anywhere in minutes! Walk to great restaurants, bars and grocery shops. 25 min walk on a lush forest trail to beautiful Alki Beach. Water taxi will whisk you across to Pike Place Market and downtown Seattle. Perfect town home launching pad!",2013-02-09,within a day,100%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,Townhouse,Entire home/apt,6,2.5,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,225.0,$250.00,$100.00,1,$0.00,3,1125,3,87.0,f,f,moderate,0.63
1806,"Private Renovated Basement with personal entrance, bathroom and kitchen in single family home located minutes from Alki Beach and downtown Seattle. Nice neighborhood; 1-2 blocks from playground and bus stops for easy travel and fun! ",2014-03-30,within a few hours,100%,100%,f,2.0,North Admiral,North Admiral,West Seattle,t,House,Private room,7,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,81.0,,$15.00,4,$15.00,1,1125,58,87.0,f,f,strict,3.27
1807,"180 degree OCEAN VIEW  Penthouse with a 3000 SF Roof Top in Alki Beach. Beach is across street. Best location for walking, biking, rollerblading, kayaking that Alki has to offer! Water Taxi is across the street that will take you to Downtown Seattle.",2015-07-20,within an hour,75%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,Condominium,Entire home/apt,6,2.5,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,495.0,$750.00,$200.00,1,$0.00,2,1125,7,97.0,f,t,strict,1.29
1809,The bedroom available has a double size bed. The bathroom will be shared with the other bedroom on the same floor. We invested a lot of money in the beds so they are extremely comfortable!,2015-01-19,within an hour,88%,100%,t,4.0,North Admiral,North Admiral,West Seattle,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,101.0,,$10.00,1,$0.00,1,1125,8,100.0,f,f,flexible,1.38
1810,"This is one of those cute simple working class homes from the 40's. Hardwood floors, two rooms, one bath all one floor. Safe and quiet neighborhood but close to fun. BBQ in back. Please note: I don't have a microwave- just don't like em. sorry.   ",2013-08-16,within an hour,100%,100%,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Shampoo}",,90.0,$250.00,,1,$0.00,3,1125,16,96.0,f,f,strict,0.58
1811,"West Seattle is a wonderful neighborhood and has all of the amenities at your finger tips. The home is a 10 min walk to the village, 15 min drive to downtown Seattle, 10 min drive to the beach. Visit and live peacefully in this great neighborhood.",2014-05-15,within a day,100%,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,90.0,$200.00,$25.00,1,$25.00,2,60,20,96.0,f,f,moderate,1.02
1812,The house was built in 1904 and renovated in 2009. Its our home and we like to offer it up to guests when we are out of town. One bedroom is a kids room with a single bed and a toddler bed and the other bedroom has a queen with a crib.,2011-08-17,within a few hours,100%,,f,1.0,North Admiral,North Admiral,West Seattle,t,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,185.0,,$35.00,1,$0.00,3,1125,2,80.0,f,f,moderate,0.44
1813,"A Seattle Times featured Home- New unobstructed 180 degree Ocean View apartment so close to the water that you will drift off to sleep while relaxing waves lap upon the beach. Close to local coffee shop, bakery, and restaurants.",2013-03-22,within an hour,100%,100%,f,2.0,North Admiral,North Admiral,West Seattle,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,99.0,$300.00,$50.00,0,$0.00,1,1125,105,98.0,f,f,strict,4.87
